,,,,,,,,,,,,,,,
Medlemmer,Medlemsscore,Rang,Rangscore,The first achievement = 10,The Nine 'n' Half Meter Challenge = 30-43,The dragon = 12,The upside down beerbong = 20,The Ponger = 7,The Gentleman Responsibility = 4,Psychic!,Tvivlsom Poet,Danish Roulette,Dragon Assist,Tillykke med din MOR,Kidnapning 
The Hulk,1351.787629,10,1251.787629,10,0,0,0,0,8,17,0,0,0,33,32
Untergang,1329.787629,10,1251.787629,10,0,36,0,0,0,0,0,0,0,0,32
The Megamind,1341.787629,10,1251.787629,0,0,0,0,0,8,0,0,0,17,33,32
Prince,910.3060766,7,831.3060766,10,0,0,0,0,4,0,0,0,0,33,32
Gulddreng69,1326.787629,10,1251.787629,10,0,0,0,0,0,0,0,0,0,33,32
Meatlover,878.3060766,7,831.3060766,10,0,0,0,0,4,0,0,0,0,33,
Whalecum,655.900625,5,574.900625,10,0,0,0,0,4,17,0,0,17,33,
The Joker,365.25,3,332.25,0,0,0,0,0,0,0,0,0,0,33,
TuSip,248,2,215,0,0,0,0,0,0,0,0,0,0,33,
Konfirmanten,365.25,3,332.25,0,0,0,0,0,0,0,0,0,0,33,
Cookie,215,2,215,0,0,0,0,0,0,0,0,0,0,0,
LittleBit,901.3060766,7,831.3060766,0,0,0,0,0,0,0,5,0,0,33,32
LigeLovlig,365.25,3,332.25,0,0,0,0,0,0,0,0,0,0,33,
Ginger,114,1,100,10,0,0,0,0,4,0,0,0,0,0,
Druglord,110,1,100,10,0,0,0,0,0,0,0,0,0,0,
Faraday,132,1,100,0,0,0,0,0,0,0,0,0,0,0,32
Rogn,100,1,100,0,0,0,0,0,0,0,0,0,0,0,
WasserBoy,100,1,100,0,0,0,0,0,0,0,0,0,0,0,
G-streng,,4,452.0875,,,,,,4,,,,,,32
ShitMonk,,4,452.0875,,,36,,,4,,,,,,
BlueSpoon,,1,100,,,,,,,,,,,,
aldente diller,,1,100,,,,,,,,,,,,
